"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"7679";"Achérus : le fort d’Ébène";"Conservée";"Azeroth";"Îles Brisées";"Achérus : le fort d’Ébène";"continent:broken-isles";"region";"1";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Achérus : le fort d’Ébène";"";"https://www.wowhead.com/fr/zone=7679"
"8701";"Érédath";"Conservée";"Azeroth";"Îles Brisées";"Argus";"manual-location:broken-isles:argus";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Argus > Érédath";"";"https://www.wowhead.com/fr/zone=8701"
"8899";"Étendues Antoréennes";"Conservée";"Azeroth";"Îles Brisées";"Argus";"manual-location:broken-isles:argus";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Argus > Étendues Antoréennes";"";"https://www.wowhead.com/fr/zone=8899"
"8574";"Krokuun";"Conservée";"Azeroth";"Îles Brisées";"Argus";"manual-location:broken-isles:argus";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Argus > Krokuun";"";"https://www.wowhead.com/fr/zone=8574"
"8916";"Le Vindicaar";"Conservée";"Azeroth";"Îles Brisées";"Argus";"manual-location:broken-isles:argus";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Argus > Le Vindicaar";"";"https://www.wowhead.com/fr/zone=8916"
"7578";"Œil d’Azshara";"Conservée";"Azeroth";"Îles Brisées";"Azsuna";"wowhead-zone:7334";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Azsuna > Œil d’Azshara";"";"https://www.wowhead.com/fr/zone=7578"
"7334";"Azsuna";"Conservée";"Azeroth";"Îles Brisées";"Azsuna";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Azsuna";"";"https://www.wowhead.com/fr/zone=7334"
"8012";"Chambre des Ombres";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Chambre des Ombres";"";"https://www.wowhead.com/fr/zone=8012"
"8392";"Égouts de Dalaran";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Égouts de Dalaran";"";"https://www.wowhead.com/fr/zone=8392"
"7875";"Faille de Scareffroi";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Faille de Scareffroi";"";"https://www.wowhead.com/fr/zone=7875"
"7879";"Hall du Gardien";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Hall du Gardien";"";"https://www.wowhead.com/fr/zone=7879"
"7745";"Le Maelström";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Le Maelström";"";"https://www.wowhead.com/fr/zone=7745"
"8023";"Le Marteau gangrené";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Le Marteau gangrené";"";"https://www.wowhead.com/fr/zone=8023"
"7834";"Temple Halo-du-Néant";"Conservée";"Azeroth";"Îles Brisées";"Dalaran";"wowhead-zone:7502";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Dalaran > Temple Halo-du-Néant";"";"https://www.wowhead.com/fr/zone=7834"
"7877";"Pavillon du Traqueur";"Conservée";"Azeroth";"Îles Brisées";"Haut-Roc";"wowhead-zone:7503";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Haut-Roc > Pavillon du Traqueur";"";"https://www.wowhead.com/fr/zone=7877"
"7731";"Totem-du-Tonnerre";"Conservée";"Azeroth";"Îles Brisées";"Haut-Roc";"wowhead-zone:7503";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Haut-Roc > Totem-du-Tonnerre";"";"https://www.wowhead.com/fr/zone=7731"
"7503";"Haut-Roc";"Conservée";"Azeroth";"Îles Brisées";"Haut-Roc";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Haut-Roc";"";"https://www.wowhead.com/fr/zone=7503"
"7903";"Temple des Cinq matins";"Conservée";"Azeroth";"Îles Brisées";"L'île Vagabonde";"manual-location:broken-isles:l-ile-vagabonde";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > L'île Vagabonde > Temple des Cinq matins";"";"https://www.wowhead.com/fr/zone=7903"
"7638";"Sanctum de la Lumière";"Conservée";"Azeroth";"Îles Brisées";"Maleterres de l'Est";"manual-location:broken-isles:maleterres-de-l-est";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Maleterres de l'Est > Sanctum de la Lumière";"";"https://www.wowhead.com/fr/zone=7638"
"16752";"Navire abandonné de la Légion";"Conservée";"Azeroth";"Îles Brisées";"Rivage Brisé";"wowhead-zone:7543";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Rivage Brisé > Navire abandonné de la Légion";"";"https://www.wowhead.com/fr/zone=16752"
"7543";"Rivage Brisé";"Conservée";"Azeroth";"Îles Brisées";"Rivage Brisé";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Rivage Brisé";"";"https://www.wowhead.com/fr/zone=7543"
"7637";"Suramar";"Conservée";"Azeroth";"Îles Brisées";"Suramar";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Suramar";"";"https://www.wowhead.com/fr/zone=7637"
"7830";"Bas-fonds de l’embouchure de Hel";"Conservée";"Azeroth";"Îles Brisées";"Tornheim";"wowhead-zone:7541";"subzone";"2";"Legion";"Acquisition d'Artefact";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Tornheim > Bas-fonds de l’embouchure de Hel";"";"https://www.wowhead.com/fr/zone=7830"
"7744";"Repos du bouclier";"Conservée";"Azeroth";"Îles Brisées";"Tornheim";"wowhead-zone:7541";"subzone";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Tornheim > Repos du bouclier";"";"https://www.wowhead.com/fr/zone=7744"
"7813";"Séjour céleste";"Conservée";"Azeroth";"Îles Brisées";"Tornheim";"wowhead-zone:7541";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Tornheim > Séjour céleste";"";"https://www.wowhead.com/fr/zone=7813"
"7541";"Tornheim";"Conservée";"Azeroth";"Îles Brisées";"Tornheim";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Tornheim";"";"https://www.wowhead.com/fr/zone=7541"
"7846";"La Sylverêve";"Conservée";"Azeroth";"Îles Brisées";"Val’sharah";"wowhead-zone:7558";"subzone";"2";"Legion";"Domaine de classe";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Val’sharah > La Sylverêve";"";"https://www.wowhead.com/fr/zone=7846"
"7558";"Val’sharah";"Conservée";"Azeroth";"Îles Brisées";"Val’sharah";"continent:broken-isles";"region";"1";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles Brisées > Val’sharah";"";"https://www.wowhead.com/fr/zone=7558"
"7343";"[UNUSED]";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=7343"
"9386";"Allied - Highmountain Tauren Unlock";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9386"
"9387";"Allied - Lightforged Draenei Unlock";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9387"
"9397";"Allied - Nightborne Unlock";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9397"
"9396";"Allied - Void Elf Unlock";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9396"
"9395";"Alliés - Hurlevent";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9395"
"9394";"Alliés - Orgrimmar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9394"
"8000";"Azsuna";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Acquisition d'Artefact";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8000"
"10713";"Haut-Roc";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10713"
"8700";"L’Exodar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8700"
"7656";"La Grande mer";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=7656"
"8445";"La Grande mer";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8445"
"8600";"La Grande mer";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8600"
"10731";"La Grande mer";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10731"
"8714";"Le Vindicaar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8714"
"8915";"Le Vindicaar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8915"
"7767";"Suramar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Acquisition d'Artefact";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=7767"
"10727";"Suramar";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10727"
"8054";"Thal’dranath";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8054"
"8053";"The Greater Sea (Don't Use)";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8053"
"7921";"Tornheim";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Acquisition d'Artefact";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=7921"
"10714";"Tornheim";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10714"
"10430";"Val’sharah";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10430"
"8470";"VictorCortisLand";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8470"
"8598";"Warden Tower TEMP";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Legion";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8598"
"8449";"xxOLD - Zuldazar City";"Supprimée";"Azeroth";"Îles Brisées";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8449"
