"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"15105";"Amirdrassil";"Conservée";"Azeroth";"Îles aux Dragons";"Amirdrassil";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Amirdrassil";"";"https://www.wowhead.com/fr/zone=15105"
"14433";"Confins Interdits";"Conservée";"Azeroth";"Îles aux Dragons";"Confins Interdits";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Confins Interdits";"";"https://www.wowhead.com/fr/zone=14433"
"14022";"Grotte de Zaralek";"Conservée";"Azeroth";"Îles aux Dragons";"Grotte de Zaralek";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Grotte de Zaralek";"";"https://www.wowhead.com/fr/zone=14022"
"13645";"Plaines d’Ohn’ahra";"Conservée";"Azeroth";"Îles aux Dragons";"Plaines d’Ohn’ahra";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Plaines d’Ohn’ahra";"";"https://www.wowhead.com/fr/zone=13645"
"14529";"Rêve d’émeraude";"Conservée";"Azeroth";"Îles aux Dragons";"Rêve d’émeraude";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Rêve d’émeraude";"";"https://www.wowhead.com/fr/zone=14529"
"13644";"Rivages de l’Éveil";"Conservée";"Azeroth";"Îles aux Dragons";"Rivages de l’Éveil";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Rivages de l’Éveil";"";"https://www.wowhead.com/fr/zone=13644"
"13802";"Réservoir du Bastion de Tyr";"Conservée";"Azeroth";"Îles aux Dragons";"Thaldraszus";"wowhead-zone:13647";"subzone";"2";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Thaldraszus > Réservoir du Bastion de Tyr";"";"https://www.wowhead.com/fr/zone=13802"
"13862";"Valdrakken";"Conservée";"Azeroth";"Îles aux Dragons";"Thaldraszus, Valdrakken";"wowhead-zone:13647";"region";"2";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Thaldraszus > Valdrakken";"Valdrakken est une région-capitale autonome située géographiquement dans Thaldraszus.";"https://www.wowhead.com/fr/zone=13862"
"13647";"Thaldraszus";"Conservée";"Azeroth";"Îles aux Dragons";"Thaldraszus";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Thaldraszus";"";"https://www.wowhead.com/fr/zone=13647"
"14620";"Choix de Dragon bleu";"Conservée";"Azeroth";"Îles aux Dragons";"Travée d’Azur";"wowhead-zone:13646";"subzone";"2";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Travée d’Azur > Choix de Dragon bleu";"";"https://www.wowhead.com/fr/zone=14620"
"13844";"Repos du Traître";"Conservée";"Azeroth";"Îles aux Dragons";"Travée d’Azur";"wowhead-zone:13646";"subzone";"2";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Travée d’Azur > Repos du Traître";"";"https://www.wowhead.com/fr/zone=13844"
"13646";"Travée d’Azur";"Conservée";"Azeroth";"Îles aux Dragons";"Travée d’Azur";"continent:dragon-isles";"region";"1";"Dragonflight";"Zone";"reviewed";"user_manual_review";"Azeroth > Îles aux Dragons > Travée d’Azur";"";"https://www.wowhead.com/fr/zone=13646"
"13643";"Grande mer";"Supprimée";"Azeroth";"Îles aux Dragons";"";"";"";"";"Dragonflight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=13643"
"13642";"Îles aux Dragons";"Supprimée";"Azeroth";"Îles aux Dragons";"";"";"";"";"Dragonflight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=13642"
