"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"16365";"Atal’Utek";"Conservée";"Azeroth";"Royaumes de l'Est";"Atal’Utek";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Atal’Utek";"";"https://www.wowhead.com/fr/zone=16365"
"8526";"Bassin Arathi";"Conservée";"Azeroth";"Royaumes de l'Est";"Bassin Arathi";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"PvP";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Bassin Arathi";"";"https://www.wowhead.com/fr/zone=8526"
"10";"Bois de la Pénombre";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois de la Pénombre";"continent:eastern-kingdoms";"region";"1";"Vanilla";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Bois de la Pénombre";"";"https://www.wowhead.com/fr/zone=10"
"3430";"Bois des Chants éternels";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels (The Burning Crusade)";"manual-location:eastern-kingdoms:bois-des-chants-eternels-the-burning-crusade";"subzone";"2";"The Burning Crusade";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Bois des Chants éternels";"";"https://www.wowhead.com/fr/zone=3430"
"3487";"Lune-d’Argent";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels (The Burning Crusade)";"manual-location:eastern-kingdoms:bois-des-chants-eternels-the-burning-crusade";"region";"2";"The Burning Crusade";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Lune-d’Argent";"";"https://www.wowhead.com/fr/zone=3487"
"";"Bois des Chants éternels (The Burning Crusade)";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels (The Burning Crusade)";"continent:eastern-kingdoms";"region";"1";"The Burning Crusade";"Zone";"reviewed";"user_manual_review_synthetic_parent";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade)";"Région parente créée depuis la revue manuelle.";""
"6455";"Île de Haut-Soleil";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels";"manual-location:eastern-kingdoms:bois-des-chants-eternels";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Bois des Chants éternels > Île de Haut-Soleil";"";"https://www.wowhead.com/fr/zone=6455"
"";"Bois des Chants éternels";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels";"continent:eastern-kingdoms";"region";"1";"Mists of Pandaria";"Zone";"reviewed";"user_manual_review_synthetic_parent";"Azeroth > Royaumes de l'Est > Bois des Chants éternels";"Région parente créée depuis la revue manuelle.";""
"1497";"Fossoyeuse";"Conservée";"Azeroth";"Royaumes de l'Est";"Clairières de Tirisfal";"wowhead-zone:85";"region";"2";"Vanilla";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Clairières de Tirisfal > Fossoyeuse";"";"https://www.wowhead.com/fr/zone=1497"
"6454";"Le Glas";"Conservée";"Azeroth";"Royaumes de l'Est";"Clairières de Tirisfal";"wowhead-zone:85";"subzone";"2";"Mists of Pandaria";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Clairières de Tirisfal > Le Glas";"";"https://www.wowhead.com/fr/zone=6454"
