"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"5";"- QA and DVD GLOBAL -";"Conservée";"Azeroth";"Royaumes de l'Est";"- QA and DVD GLOBAL -";"continent:eastern-kingdoms";"region";"1";"Legion";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > - QA and DVD GLOBAL -";"";"https://www.wowhead.com/fr/zone=5"
"8491";"[TEMP] CV Kul Tiras Island";"Conservée";"Azeroth";"Royaumes de l'Est";"[TEMP] CV Kul Tiras Island";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > [TEMP] CV Kul Tiras Island";"";"https://www.wowhead.com/fr/zone=8491"
"8634";"[TEMP] Hackaton CV";"Conservée";"Azeroth";"Royaumes de l'Est";"[TEMP] Hackaton CV";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > [TEMP] Hackaton CV";"";"https://www.wowhead.com/fr/zone=8634"
"8636";"[TEMP] Hackaton Race";"Conservée";"Azeroth";"Royaumes de l'Est";"[TEMP] Hackaton Race";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > [TEMP] Hackaton Race";"";"https://www.wowhead.com/fr/zone=8636"
"8637";"[TEMP] Hackaton Race";"Conservée";"Azeroth";"Royaumes de l'Est";"[TEMP] Hackaton Race";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > [TEMP] Hackaton Race";"";"https://www.wowhead.com/fr/zone=8637"
"8448";"[TEMP] JT Zandalar Swamp";"Conservée";"Azeroth";"Royaumes de l'Est";"[TEMP] JT Zandalar Swamp";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > [TEMP] JT Zandalar Swamp";"";"https://www.wowhead.com/fr/zone=8448"
"13554";"10 Canyon";"Conservée";"Azeroth";"Royaumes de l'Est";"10 Canyon";"continent:eastern-kingdoms";"region";"1";"Dragonflight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 10 Canyon";"";"https://www.wowhead.com/fr/zone=13554"
"13636";"10 Highlands";"Conservée";"Azeroth";"Royaumes de l'Est";"10 Highlands";"continent:eastern-kingdoms";"region";"1";"Dragonflight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 10 Highlands";"";"https://www.wowhead.com/fr/zone=13636"
"14484";"10.2 Devland";"Conservée";"Azeroth";"Royaumes de l'Est";"10.2 Devland";"continent:eastern-kingdoms";"region";"1";"The War Within";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 10.2 Devland";"";"https://www.wowhead.com/fr/zone=14484"
"14519";"10Zone6-Devland";"Conservée";"Azeroth";"Royaumes de l'Est";"10Zone6-Devland";"continent:eastern-kingdoms";"region";"1";"Dragonflight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 10Zone6-Devland";"";"https://www.wowhead.com/fr/zone=14519"
"14523";"11 Zone3";"Conservée";"Azeroth";"Royaumes de l'Est";"11 Zone3";"continent:eastern-kingdoms";"region";"1";"The War Within";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 11 Zone3";"";"https://www.wowhead.com/fr/zone=14523"
"15459";"12.0 WB Playground";"Conservée";"Azeroth";"Royaumes de l'Est";"12.0 WB Playground";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 12.0 WB Playground";"";"https://www.wowhead.com/fr/zone=15459"
"15027";"2510 galerie Primaire";"Conservée";"Azeroth";"Royaumes de l'Est";"2510 galerie Primaire";"continent:eastern-kingdoms";"region";"1";"The War Within";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 2510 galerie Primaire";"";"https://www.wowhead.com/fr/zone=15027"
"15516";"2711- Silvermoon";"Conservée";"Azeroth";"Royaumes de l'Est";"2711- Silvermoon";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > 2711- Silvermoon";"";"https://www.wowhead.com/fr/zone=15516"
"9703";"Allied - Dark Iron Dwarf Unlock";"Conservée";"Azeroth";"Royaumes de l'Est";"Allied - Dark Iron Dwarf Unlock";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Allied - Dark Iron Dwarf Unlock";"";"https://www.wowhead.com/fr/zone=9703"
"14512";"Arbrenouveau";"Conservée";"Azeroth";"Royaumes de l'Est";"Arbrenouveau";"continent:eastern-kingdoms";"region";"1";"The War Within";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Arbrenouveau";"";"https://www.wowhead.com/fr/zone=14512"
"13970";"Arène des Énigmes";"Conservée";"Azeroth";"Royaumes de l'Est";"Arène des Énigmes";"continent:eastern-kingdoms";"region";"1";"Shadowlands";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Arène des Énigmes";"";"https://www.wowhead.com/fr/zone=13970"
"16194";"Atal’Aman";"Conservée";"Azeroth";"Royaumes de l'Est";"Atal’Aman";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Atal’Aman";"";"https://www.wowhead.com/fr/zone=16194"
"16838";"Atal'Utek (copy)";"Conservée";"Azeroth";"Royaumes de l'Est";"Atal'Utek (copy)";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Atal'Utek (copy)";"";"https://www.wowhead.com/fr/zone=16838"
"16365";"Atal’Utek";"Conservée";"Azeroth";"Royaumes de l'Est";"Atal’Utek";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Atal’Utek";"";"https://www.wowhead.com/fr/zone=16365"
"8591";"Auberge de Shwayder";"Conservée";"Azeroth";"Royaumes de l'Est";"Auberge de Shwayder";"continent:eastern-kingdoms";"region";"1";"Legion";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Auberge de Shwayder";"";"https://www.wowhead.com/fr/zone=8591"
"13506";"awood_dev1";"Conservée";"Azeroth";"Royaumes de l'Est";"awood_dev1";"continent:eastern-kingdoms";"region";"1";"Shadowlands";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > awood_dev1";"";"https://www.wowhead.com/fr/zone=13506"
"15529";"Azshara_DemoArea";"Conservée";"Azeroth";"Royaumes de l'Est";"Azshara_DemoArea";"continent:eastern-kingdoms";"region";"1";"The War Within";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Azshara_DemoArea";"";"https://www.wowhead.com/fr/zone=15529"
"7901";"Balcon de la citadelle Pourpre";"Conservée";"Azeroth";"Royaumes de l'Est";"Balcon de la citadelle Pourpre";"continent:eastern-kingdoms";"region";"1";"Legion";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Balcon de la citadelle Pourpre";"";"https://www.wowhead.com/fr/zone=7901"
"8526";"Bassin Arathi";"Conservée";"Azeroth";"Royaumes de l'Est";"Bassin Arathi";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Bassin Arathi";"";"https://www.wowhead.com/fr/zone=8526"
"8597";"Bataille pour le mont Rochenoire";"Conservée";"Azeroth";"Royaumes de l'Est";"Bataille pour le mont Rochenoire";"continent:eastern-kingdoms";"region";"1";"Legion";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Bataille pour le mont Rochenoire";"";"https://www.wowhead.com/fr/zone=8597"
"9383";"BlizzCon 2017";"Conservée";"Azeroth";"Royaumes de l'Est";"BlizzCon 2017";"continent:eastern-kingdoms";"region";"1";"Battle for Azeroth";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > BlizzCon 2017";"";"https://www.wowhead.com/fr/zone=9383"
"10";"Bois de la Pénombre";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois de la Pénombre";"continent:eastern-kingdoms";"region";"1";"Vanilla";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Bois de la Pénombre";"";"https://www.wowhead.com/fr/zone=10"
"3430";"Bois des Chants éternels (The Burning Crusade)";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels (The Burning Crusade)";"continent:eastern-kingdoms";"region";"1";"Vanilla";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade)";"";"https://www.wowhead.com/fr/zone=3430"
"15173";"Bois des Chants éternels";"Conservée";"Azeroth";"Royaumes de l'Est";"Bois des Chants éternels";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Bois des Chants éternels";"";"https://www.wowhead.com/fr/zone=15173"
"7967";"Boost Experience [TEMP NAME]";"Conservée";"Azeroth";"Royaumes de l'Est";"Boost Experience [TEMP NAME]";"continent:eastern-kingdoms";"region";"1";"Legion";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Boost Experience [TEMP NAME]";"";"https://www.wowhead.com/fr/zone=7967"
"15915";"Camp de bataillon";"Conservée";"Azeroth";"Royaumes de l'Est";"Camp de bataillon";"continent:eastern-kingdoms";"region";"1";"Midnight";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Camp de bataillon";"";"https://www.wowhead.com/fr/zone=15915"
"13581";"Canopée luxuriante";"Conservée";"Azeroth";"Royaumes de l'Est";"Canopée luxuriante";"continent:eastern-kingdoms";"region";"1";"Shadowlands";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Canopée luxuriante";"";"https://www.wowhead.com/fr/zone=13581"
"5287";"Cap Strangleronce";"Conservée";"Azeroth";"Royaumes de l'Est";"Cap Strangleronce";"continent:eastern-kingdoms";"region";"1";"Vanilla";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Cap Strangleronce";"";"https://www.wowhead.com/fr/zone=5287"
"13469";"Carte 2437 [ZONE DE DEV]";"Conservée";"Azeroth";"Royaumes de l'Est";"Carte 2437 [ZONE DE DEV]";"continent:eastern-kingdoms";"region";"1";"Shadowlands";"Zone";"pending";"awaiting_manual_review";"Azeroth > Royaumes de l'Est > Carte 2437 [ZONE DE DEV]";"";"https://www.wowhead.com/fr/zone=13469"
