"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"14753";"Cité des Fils";"Conservée";"Azeroth";"Khaz Algar";"Azj-Kahet";"wowhead-zone:14752";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Azj-Kahet > Cité des Fils";"";"https://www.wowhead.com/fr/zone=14753"
"14765";"Gorge Frémissante";"Conservée";"Azeroth";"Khaz Algar";"Azj-Kahet";"wowhead-zone:14752";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Azj-Kahet > Gorge Frémissante";"";"https://www.wowhead.com/fr/zone=14765"
"14769";"Les profondeurs Démentielles";"Conservée";"Azeroth";"Khaz Algar";"Azj-Kahet";"wowhead-zone:14752";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Azj-Kahet > Les profondeurs Démentielles";"";"https://www.wowhead.com/fr/zone=14769"
"14752";"Azj-Kahet";"Conservée";"Azeroth";"Khaz Algar";"Azj-Kahet";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Azj-Kahet";"";"https://www.wowhead.com/fr/zone=14752"
"15827";"Chambre Oubliée";"Conservée";"Azeroth";"Khaz Algar";"Île aux Sirènes";"wowhead-zone:10416";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île aux Sirènes > Chambre Oubliée";"";"https://www.wowhead.com/fr/zone=15827"
"10416";"Île aux Sirènes";"Conservée";"Azeroth";"Khaz Algar";"Île aux Sirènes";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île aux Sirènes";"";"https://www.wowhead.com/fr/zone=10416"
"14771";"Dornogal";"Conservée";"Azeroth";"Khaz Algar";"Île de Dorn, Dornogal";"wowhead-zone:14717";"region";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île de Dorn > Dornogal";"Dornogal est une région-capitale autonome située géographiquement sur l’Île de Dorn.";"https://www.wowhead.com/fr/zone=14771"
"16092";"Duos infâmes";"Conservée";"Azeroth";"Khaz Algar";"Île de Dorn";"wowhead-zone:14717";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île de Dorn > Duos infâmes";"";"https://www.wowhead.com/fr/zone=16092"
"14776";"Le Proscenium";"Conservée";"Azeroth";"Khaz Algar";"Île de Dorn";"wowhead-zone:14717";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île de Dorn > Le Proscenium";"";"https://www.wowhead.com/fr/zone=14776"
"14717";"Île de Dorn";"Conservée";"Azeroth";"Khaz Algar";"Île de Dorn";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Île de Dorn";"";"https://www.wowhead.com/fr/zone=14717"
"16505";"Caverne de la Cicatrice du Vide";"Conservée";"Azeroth";"Khaz Algar";"K'aresh";"wowhead-zone:15336";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > K’aresh > Caverne de la Cicatrice du Vide";"";"https://www.wowhead.com/fr/zone=16505"
"15781";"Tazavesh, le marché dissimulé";"Conservée";"Azeroth";"Khaz Algar";"K'aresh";"wowhead-zone:15336";"subzone";"2";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > K’aresh > Tazavesh, le marché dissimulé";"";"https://www.wowhead.com/fr/zone=15781"
"15336";"K’aresh";"Conservée";"Azeroth";"Khaz Algar";"K’aresh";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > K’aresh";"";"https://www.wowhead.com/fr/zone=15336"
"14795";"Les abîmes Retentissants";"Conservée";"Azeroth";"Khaz Algar";"Les abîmes Retentissants";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Les abîmes Retentissants";"";"https://www.wowhead.com/fr/zone=14795"
"14838";"Sainte-Chute";"Conservée";"Azeroth";"Khaz Algar";"Sainte-Chute";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Sainte-Chute";"";"https://www.wowhead.com/fr/zone=14838"
"15347";"Terremine";"Conservée";"Azeroth";"Khaz Algar";"Terremine";"continent:khaz-algar";"region";"1";"The War Within";"Zone";"reviewed";"user_manual_review";"Azeroth > Khaz Algar > Terremine";"";"https://www.wowhead.com/fr/zone=15347"
"13416";"DEV Lowlands (DO NOT USE)";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"Dragonflight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=13416"
"15667";"Gouffres";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=15667"
"16579";"K’aresh";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=16579"
"14665";"Khaz Algar";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=14665"
"15525";"La Grande mer";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=15525"
"16108";"La Grande mer";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=16108"
"16093";"Terremine";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=16093"
"16077";"Test de Dornogal";"Supprimée";"Azeroth";"Khaz Algar";"";"";"";"";"The War Within";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=16077"
