"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"9663";"Campagne militaire - Alliance";"Conservée";"Azeroth";"Kul Tiras";"Campagne militaire - Alliance";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Campagne militaire - Alliance";"";"https://www.wowhead.com/fr/zone=9663"
"8721";"Drustvar";"Conservée";"Azeroth";"Kul Tiras";"Drustvar";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Drustvar";"";"https://www.wowhead.com/fr/zone=8721"
"10290";"Île de Mécagone";"Conservée";"Azeroth";"Kul Tiras";"Île de Mécagone";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Île de Mécagone";"";"https://www.wowhead.com/fr/zone=10290"
"9765";"Académie Portvaillant";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Académie Portvaillant";"";"https://www.wowhead.com/fr/zone=9765"
"8568";"Boralus";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"region";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Boralus";"Boralus est une région-capitale autonome située géographiquement dans la Rade de Tiragarde.";"https://www.wowhead.com/fr/zone=8568"
"9771";"Caserne Portvaillant";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Caserne Portvaillant";"";"https://www.wowhead.com/fr/zone=9771"
"9407";"Chantier naval de la compagnie Corsandre";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Chantier naval de la compagnie Corsandre";"";"https://www.wowhead.com/fr/zone=9407"
"9627";"Communs de la Croisée des Vents";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Communs de la Croisée des Vents";"";"https://www.wowhead.com/fr/zone=9627"
"8716";"Donjon Portvaillant";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Donjon Portvaillant";"";"https://www.wowhead.com/fr/zone=8716"
"8956";"Gol Thovas";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Gol Thovas";"";"https://www.wowhead.com/fr/zone=8956"
"10034";"Haut-Quartier";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Haut-Quartier";"";"https://www.wowhead.com/fr/zone=10034"
"8718";"Marché des Alizés";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Marché des Alizés";"";"https://www.wowhead.com/fr/zone=8718"
"9554";"Monastère Chantorage";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Monastère Chantorage";"";"https://www.wowhead.com/fr/zone=9554"
"9593";"Place de l’Unité";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Place de l’Unité";"";"https://www.wowhead.com/fr/zone=9593"
"9588";"Pointe du Crochet";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Pointe du Crochet";"";"https://www.wowhead.com/fr/zone=9588"
"8717";"Port de Boralus";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Port de Boralus";"";"https://www.wowhead.com/fr/zone=8717"
"9980";"Quais Corsandre";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Quais Corsandre";"";"https://www.wowhead.com/fr/zone=9980"
"9979";"Quartier de Mèchumide";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Quartier de Mèchumide";"";"https://www.wowhead.com/fr/zone=9979"
"9602";"Voie du Marin";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"wowhead-zone:8567";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde > Voie du Marin";"";"https://www.wowhead.com/fr/zone=9602"
"8567";"Rade de Tiragarde";"Conservée";"Azeroth";"Kul Tiras";"Rade de Tiragarde";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Rade de Tiragarde";"";"https://www.wowhead.com/fr/zone=8567"
"8978";"Tol Dagor";"Conservée";"Azeroth";"Kul Tiras";"Tol Dagor";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Tol Dagor";"";"https://www.wowhead.com/fr/zone=8978"
"9562";"Cœur-de-Ronces";"Conservée";"Azeroth";"Kul Tiras";"Vallée Chantorage";"wowhead-zone:9042";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Vallée Chantorage > Cœur-de-Ronces";"";"https://www.wowhead.com/fr/zone=9562"
"9698";"Mine de sel gemme";"Conservée";"Azeroth";"Kul Tiras";"Vallée Chantorage";"wowhead-zone:9042";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Vallée Chantorage > Mine de sel gemme";"";"https://www.wowhead.com/fr/zone=9698"
"9042";"Vallée Chantorage";"Conservée";"Azeroth";"Kul Tiras";"Vallée Chantorage";"continent:kul-tiras";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Kul Tiras > Vallée Chantorage";"";"https://www.wowhead.com/fr/zone=9042"
"10380";"Allied - Kul Tiran Unlock";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10380"
"11539";"Alliés - déblocage des Mécagnomes";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=11539"
"11540";"Alliés - déblocage des Vulpérins";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=11540"
"8566";"La Grande mer";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8566"
"9183";"RiverZone_Art";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9183"
"10015";"Tol Dagor";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10015"
"9764";"Ulterres, les confins Corrompus";"Supprimée";"Azeroth";"Kul Tiras";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9764"
