"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"4742";"Accostage de Hrothgar";"Conservée";"Azeroth";"Norfendre";"Accostage de Hrothgar";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Accostage de Hrothgar";"";"https://www.wowhead.com/fr/zone=4742"
"3711";"Bassin de Sholazar";"Conservée";"Azeroth";"Norfendre";"Bassin de Sholazar";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Bassin de Sholazar";"";"https://www.wowhead.com/fr/zone=3711"
"65";"Désolation des dragons";"Conservée";"Azeroth";"Norfendre";"Désolation des dragons";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Désolation des dragons";"";"https://www.wowhead.com/fr/zone=65"
"495";"Fjord Hurlant";"Conservée";"Azeroth";"Norfendre";"Fjord Hurlant";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Fjord Hurlant";"";"https://www.wowhead.com/fr/zone=495"
"8474";"Dalaran (Norfendre)";"Conservée";"Azeroth";"Norfendre";"Forêt du Chant de cristal";"wowhead-zone:2817";"region";"2";"Legion";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Forêt du Chant de cristal > Dalaran (Norfendre)";"";"https://www.wowhead.com/fr/zone=8474"
"2817";"Forêt du Chant de cristal";"Conservée";"Azeroth";"Norfendre";"Forêt du Chant de cristal";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Forêt du Chant de cristal";"";"https://www.wowhead.com/fr/zone=2817"
"4197";"Joug-d’Hiver";"Conservée";"Azeroth";"Norfendre";"Joug-d’Hiver";"continent:northrend";"region";"1";"Wrath of the Lich King";"PvP";"reviewed";"user_manual_review";"Azeroth > Norfendre > Joug-d’Hiver";"";"https://www.wowhead.com/fr/zone=4197"
"4859";"Le Trône de glace";"Conservée";"Azeroth";"Norfendre";"La Couronne de glace";"wowhead-zone:210";"subzone";"2";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > La Couronne de glace > Le Trône de glace";"";"https://www.wowhead.com/fr/zone=4859"
"210";"La Couronne de glace";"Conservée";"Azeroth";"Norfendre";"La Couronne de glace";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > La Couronne de glace";"";"https://www.wowhead.com/fr/zone=210"
"394";"Les Grisonnes";"Conservée";"Azeroth";"Norfendre";"Les Grisonnes";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Les Grisonnes";"";"https://www.wowhead.com/fr/zone=394"
"67";"Les pics Foudroyés";"Conservée";"Azeroth";"Norfendre";"Les pics Foudroyés";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Les pics Foudroyés";"";"https://www.wowhead.com/fr/zone=67"
"3537";"Toundra Boréenne";"Conservée";"Azeroth";"Norfendre";"Toundra Boréenne";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Toundra Boréenne";"";"https://www.wowhead.com/fr/zone=3537"
"66";"Zul’Drak";"Conservée";"Azeroth";"Norfendre";"Zul’Drak";"continent:northrend";"region";"1";"Wrath of the Lich King";"Zone";"reviewed";"user_manual_review";"Azeroth > Norfendre > Zul’Drak";"";"https://www.wowhead.com/fr/zone=66"
"10157";"Bassin de Sholazar";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10157"
"4395";"Dalaran";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Wrath of the Lich King";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=4395"
"10154";"Désolation des dragons";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10154"
"10155";"La Couronne de glace";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10155"
"10456";"Le sanctum Obsidien";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10456"
"10156";"Toundra Boréenne";"Supprimée";"Azeroth";"Norfendre";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10156"
