"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"6219";"Arène de l’Annihilation";"Conservée";"Azeroth";"Pandarie";"Arène de l’Annihilation";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Arène de l’Annihilation";"";"https://www.wowhead.com/fr/zone=6219"
"6567";"Bataille en haute mer";"Conservée";"Azeroth";"Pandarie";"Bataille en haute mer";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Bataille en haute mer";"";"https://www.wowhead.com/fr/zone=6567"
"6716";"Citadelle du Roi-tonnerre";"Conservée";"Azeroth";"Pandarie";"Citadelle du Roi-tonnerre";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Citadelle du Roi-tonnerre";"";"https://www.wowhead.com/fr/zone=6716"
"6208";"Crypte des Rois oubliés";"Conservée";"Azeroth";"Pandarie";"Crypte des Rois oubliés";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Crypte des Rois oubliés";"";"https://www.wowhead.com/fr/zone=6208"
"6611";"Dalaran";"Conservée";"Azeroth";"Pandarie";"Dalaran";"continent:pandaria";"region";"1";"Mists of Pandaria";"Zone";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Dalaran";"";"https://www.wowhead.com/fr/zone=6611"
"6678";"Dun Morogh";"Conservée";"Azeroth";"Pandarie";"Dun Morogh";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Dun Morogh";"";"https://www.wowhead.com/fr/zone=6678"
"6673";"En route vers les cieux !";"Conservée";"Azeroth";"Pandarie";"En route vers les cieux !";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > En route vers les cieux !";"";"https://www.wowhead.com/fr/zone=6673"
"6134";"Étendues sauvages de Krasarang";"Conservée";"Azeroth";"Pandarie";"Étendues sauvages de Krasarang";"continent:pandaria";"region";"1";"Mists of Pandaria";"Zone";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Étendues sauvages de Krasarang";"";"https://www.wowhead.com/fr/zone=6134"
"6575";"Étendues sauvages de Krasarang";"Conservée";"Azeroth";"Pandarie";"Étendues sauvages de Krasarang";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Étendues sauvages de Krasarang";"";"https://www.wowhead.com/fr/zone=6575"
"6615";"Étendues sauvages de Krasarang";"Conservée";"Azeroth";"Pandarie";"Étendues sauvages de Krasarang";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Étendues sauvages de Krasarang";"";"https://www.wowhead.com/fr/zone=6615"
"6426";"Festival de Brasse-Lune";"Conservée";"Azeroth";"Pandarie";"Festival de Brasse-Lune";"continent:pandaria";"region";"1";"Mists of Pandaria";"Scénario";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Festival de Brasse-Lune";"";"https://www.wowhead.com/fr/zone=6426"
"6661";"Île des Géants";"Conservée";"Azeroth";"Pandarie";"Île des Géants";"continent:pandaria";"region";"1";"Mists of Pandaria";"Zone";"pending";"awaiting_manual_review";"Azeroth > Pandarie > Île des Géants";"";"https://www.wowhead.com/fr/zone=6661"
