"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"15968";"Bois des Chants éternels";"Conservée";"Azeroth";"Quel'Thalas";"Bois des Chants éternels";"continent:quel-thalas";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Bois des Chants éternels";"";"https://www.wowhead.com/fr/zone=15968"
"15921";"La Tanière";"Conservée";"Azeroth";"Quel'Thalas";"Harandar";"wowhead-zone:15355";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Harandar > La Tanière";"";"https://www.wowhead.com/fr/zone=15921"
"15355";"Harandar";"Conservée";"Azeroth";"Quel'Thalas";"Harandar";"continent:quel-thalas";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Harandar";"";"https://www.wowhead.com/fr/zone=15355"
"16211";"Place Parhélion";"Conservée";"Azeroth";"Quel'Thalas";"Île de Quel’Danas";"wowhead-zone:16182";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Île de Quel’Danas > Place Parhélion";"";"https://www.wowhead.com/fr/zone=16211"
"16182";"Île de Quel’Danas";"Conservée";"Azeroth";"Quel'Thalas";"Île de Quel’Danas";"continent:quel-thalas";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Île de Quel’Danas";"";"https://www.wowhead.com/fr/zone=16182"
"15959";"Colline Meurtrière";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"wowhead-zone:16648";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Colline Meurtrière";"";"https://www.wowhead.com/fr/zone=15959"
"15958";"Perchoir des Maîtres";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"wowhead-zone:16648";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Perchoir des Maîtres";"";"https://www.wowhead.com/fr/zone=15958"
"15954";"Point-nexus Xenas";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"wowhead-zone:16648";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Point-nexus Xenas";"";"https://www.wowhead.com/fr/zone=15954"
"16534";"Repaire de Prédaxas";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"wowhead-zone:16648";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Repaire de Prédaxas";"";"https://www.wowhead.com/fr/zone=16534"
"16581";"Terrier du Vide de l’Abondance";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"wowhead-zone:16648";"subzone";"2";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide > Terrier du Vide de l’Abondance";"";"https://www.wowhead.com/fr/zone=16581"
"16648";"Tempête du Vide";"Conservée";"Azeroth";"Quel'Thalas";"Tempête du Vide";"continent:quel-thalas";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Tempête du Vide";"";"https://www.wowhead.com/fr/zone=16648"
"15947";"Zul’Aman";"Conservée";"Azeroth";"Quel'Thalas";"Zul’Aman";"continent:quel-thalas";"region";"1";"Midnight";"Zone";"reviewed";"user_manual_review";"Azeroth > Royaumes de l'Est > Quel'Thalas > Zul’Aman";"";"https://www.wowhead.com/fr/zone=15947"
"16215";"Île de Quel’Danas";"Supprimée";"Azeroth";"Quel'Thalas";"";"";"";"";"Midnight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=16215"
"15469";"Région des devs – Harandar";"Supprimée";"Azeroth";"Quel'Thalas";"";"";"";"";"Midnight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=15469"
"15458";"Tempête du Vide";"Supprimée";"Azeroth";"Quel'Thalas";"";"";"";"";"Midnight";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=15458"
