"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"11400";"Antre";"Conservée";"Ombreterre";"Ombreterre";"Antre";"continent:shadowlands";"region";"1";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Antre";"";"https://www.wowhead.com/fr/zone=11400"
"13570";"Korthia";"Conservée";"Ombreterre";"Ombreterre";"Korthia";"continent:shadowlands";"region";"1";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Korthia";"";"https://www.wowhead.com/fr/zone=13570"
"13390";"Caveau du Souvenir";"Conservée";"Ombreterre";"Ombreterre";"Le Bastion";"wowhead-zone:10534";"subzone";"2";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Le Bastion > Caveau du Souvenir";"";"https://www.wowhead.com/fr/zone=13390"
"11012";"Fort Élyséen";"Conservée";"Ombreterre";"Ombreterre";"Le Bastion";"wowhead-zone:10534";"subzone";"2";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Le Bastion > Fort Élyséen";"";"https://www.wowhead.com/fr/zone=11012"
"10534";"Le Bastion";"Conservée";"Ombreterre";"Ombreterre";"Le Bastion";"continent:shadowlands";"region";"1";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Le Bastion";"";"https://www.wowhead.com/fr/zone=10534"
"12876";"Siège du Primat";"Conservée";"Ombreterre";"Ombreterre";"Maldraxxus";"wowhead-zone:11462";"subzone";"2";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Maldraxxus > Siège du Primat";"";"https://www.wowhead.com/fr/zone=12876"
"11462";"Maldraxxus";"Conservée";"Ombreterre";"Ombreterre";"Maldraxxus";"continent:shadowlands";"region";"1";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Maldraxxus";"";"https://www.wowhead.com/fr/zone=11462"
"10565";"Oribos";"Conservée";"Ombreterre";"Ombreterre";"Oribos";"continent:shadowlands";"region";"1";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Oribos";"Oribos est une région-capitale autonome directement rattachée au continent Ombreterre.";"https://www.wowhead.com/fr/zone=10565"
"13329";"Cour des Braises";"Conservée";"Ombreterre";"Ombreterre";"Revendreth";"wowhead-zone:10413";"subzone";"2";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Revendreth > Cour des Braises";"";"https://www.wowhead.com/fr/zone=13329"
"10986";"Tombe-Vice";"Conservée";"Ombreterre";"Ombreterre";"Revendreth";"wowhead-zone:10413";"subzone";"2";"Shadowlands";"Zone";"reviewed";"user_manual_review";"Ombreterre > Ombreterre > Revendreth > Tombe-Vice";"";"https://www.wowhead.com/fr/zone=10986"
