"wowheadZoneId";"nom";"decision";"monde";"continent";"region";"parent";"typeGeographique";"profondeur";"extension";"typeInstance";"statutRevue";"methodeRevue";"chemin";"note";"wowheadUrl"
"9664";"Campagne militaire - Horde";"Conservée";"Azeroth";"Zandalar";"Campagne militaire - Horde";"continent:zandalar";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Campagne militaire - Horde";"";"https://www.wowhead.com/fr/zone=9664"
"8500";"Nazmir";"Conservée";"Azeroth";"Zandalar";"Nazmir";"continent:zandalar";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Nazmir";"";"https://www.wowhead.com/fr/zone=8500"
"8501";"Vol’dun";"Conservée";"Azeroth";"Zandalar";"Vol’dun";"continent:zandalar";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Vol’dun";"";"https://www.wowhead.com/fr/zone=8501"
"9665";"Atal’Jani";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Atal’Jani";"";"https://www.wowhead.com/fr/zone=9665"
"9599";"Au Repos des Esprits";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Au Repos des Esprits";"";"https://www.wowhead.com/fr/zone=9599"
"9660";"Au Tambour Ivre";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Au Tambour Ivre";"";"https://www.wowhead.com/fr/zone=9660"
"9962";"Auberge de Nage-Défense";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Auberge de Nage-Défense";"";"https://www.wowhead.com/fr/zone=9962"
"9994";"Chambre de Rezan";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Chambre de Rezan";"";"https://www.wowhead.com/fr/zone=9994"
"8670";"Dazar’alor";"Conservée";"Azeroth";"Zandalar";"Zuldazar, Dazar’alor";"wowhead-zone:8499";"region";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Dazar’alor";"Dazar’alor est une région-capitale autonome située géographiquement dans Zuldazar.";"https://www.wowhead.com/fr/zone=8670"
"9662";"La Serre";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > La Serre";"";"https://www.wowhead.com/fr/zone=9662"
"9147";"La vieille Digue";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > La vieille Digue";"";"https://www.wowhead.com/fr/zone=9147"
"8729";"Le Défilé";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Le Défilé";"";"https://www.wowhead.com/fr/zone=8729"
"8666";"Le Grand bazar";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Le Grand bazar";"";"https://www.wowhead.com/fr/zone=8666"
"9598";"Le Grand Sceau";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Le Grand Sceau";"";"https://www.wowhead.com/fr/zone=9598"
"9173";"Le Zocalo";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Le Zocalo";"";"https://www.wowhead.com/fr/zone=9173"
"8665";"Port de Zandalar";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Port de Zandalar";"";"https://www.wowhead.com/fr/zone=8665"
"9772";"Puissance de Rastakhan";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Puissance de Rastakhan";"";"https://www.wowhead.com/fr/zone=9772"
"9970";"Salle de la Force";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Salle de la Force";"";"https://www.wowhead.com/fr/zone=9970"
"9661";"Salon des Esprits perdus";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Salon des Esprits perdus";"";"https://www.wowhead.com/fr/zone=9661"
"8668";"Tal’aman";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Tal’aman";"";"https://www.wowhead.com/fr/zone=8668"
"8667";"Tal’farrak";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Tal’farrak";"";"https://www.wowhead.com/fr/zone=8667"
"9172";"Terrasse de l’Élu";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Terrasse de l’Élu";"";"https://www.wowhead.com/fr/zone=9172"
"9361";"Terrasse des Prédicateurs";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Terrasse des Prédicateurs";"";"https://www.wowhead.com/fr/zone=9361"
"9355";"Tortoga";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Tortoga";"";"https://www.wowhead.com/fr/zone=9355"
"8726";"Zanchul";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"wowhead-zone:8499";"subzone";"2";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar > Zanchul";"";"https://www.wowhead.com/fr/zone=8726"
"8499";"Zuldazar";"Conservée";"Azeroth";"Zandalar";"Zuldazar";"continent:zandalar";"region";"1";"Battle for Azeroth";"Zone";"reviewed";"user_manual_review";"Azeroth > Zandalar > Zuldazar";"";"https://www.wowhead.com/fr/zone=8499"
"10088";"Allied - Zandalari Unlock";"Supprimée";"Azeroth";"Zandalar";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=10088"
"8502";"Mers du Sud";"Supprimée";"Azeroth";"Zandalar";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=8502"
"9669";"Mers du Sud";"Supprimée";"Azeroth";"Zandalar";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9669"
"9570";"Zuldazar";"Supprimée";"Azeroth";"Zandalar";"";"";"";"";"Battle for Azeroth";"Zone";"excluded";"user_manual_review";"";"Décision Supprimée lors de la revue manuelle.";"https://www.wowhead.com/fr/zone=9570"
