"blizzardId";"monture";"extensionMonture";"patch";"source";"difficulty";"motsClesMamytwink";"nombreCandidates";"zonesCandidates";"regionsCandidates";"locationRefsCandidates";"cheminsCandidates";"statutRevue";"mamytwinkUrl";"wowheadUrl";"decisionManuelle";"locationRefRetenue";"notes"
"779";"Esprit d’Eche’ro";"legion";"7.0";"Archéologie";"Moyen";"Archéologie | Dalaran | Îles Brisées | Dariness l’Instruite | Sur la bonne voie | Fragment d'os d'Eche'ro";"3";"Dalaran";"Dalaran";"wowhead-zone:7502 | wowhead-zone:6611 | wowhead-zone:7886";"Azeroth > Îles Brisées > Dalaran | Azeroth > Pandarie > Dalaran | Azeroth > Royaumes de l'Est > Dalaran";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/esprit-dechero";"https://www.wowhead.com/fr/item=131734";"";"";""
"955";"Vil indomptable";"legion";"7.3";"Butin";"Moyen";"Dresseur de molosses Kerrax | Argus | Étendues Antoréennes";"2";"Argus | Étendues Antoréennes";"Argus";"manual-location:broken-isles:argus | wowhead-zone:8899";"Azeroth > Îles Brisées > Argus | Azeroth > Îles Brisées > Argus > Étendues Antoréennes";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/vil-indomptable";"https://www.wowhead.com/fr/item=152790";"";"";""
"979";"Gueule-écumante cramoisie";"legion";"7.3";"Butin";"Moyen";"Gueule putride | Argus | Étendues Antoréennes";"2";"Argus | Étendues Antoréennes";"Argus";"manual-location:broken-isles:argus | wowhead-zone:8899";"Azeroth > Îles Brisées > Argus | Azeroth > Îles Brisées > Argus > Étendues Antoréennes";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/gueule-ecumante-cramoisie";"https://www.wowhead.com/fr/item=152905";"";"";""
"981";"Grince-dents caustique";"legion";"7.3";"Butin";"Moyen";"Vrax'thul | Argus | étendues Antoréennes";"2";"Argus | Étendues Antoréennes";"Argus";"manual-location:broken-isles:argus | wowhead-zone:8899";"Azeroth > Îles Brisées > Argus | Azeroth > Îles Brisées > Argus > Étendues Antoréennes";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/grince-dents-caustique";"https://www.wowhead.com/fr/item=152903";"";"";""
"2499";"Coursier du vent marqué par le Vide";"warWithin";"11.1.5";"Butin";"Facile";"Visions horrifiques redécouvertes | Wyverne matriarche du vent marquée par le Vide | Orgrimmar";"2";"Orgrimmar";"Orgrimmar";"wowhead-zone:1637 | manual-location:pandaria:orgrimmar";"Azeroth > Kalimdor > Durotar > Orgrimmar | Azeroth > Pandarie > Orgrimmar";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-coursier-du-vent-marque-par-le-vide";"https://www.wowhead.com/fr/item=235707";"";"";""
"2694";"Mandevent amani";"midnight";"12.0";"Réputation";"Facile";"Magovu | Zul'Aman | Marne de Lumière du Vide | Tribu des Amani";"2";"Zul’Aman | Zul'Aman";"Zul’Aman | Zul'Aman";"wowhead-zone:15947 | manual-location:eastern-kingdoms:zul-aman";"Azeroth > Royaumes de l'Est > Quel'Thalas > Zul’Aman | Azeroth > Royaumes de l'Est > Zul'Aman";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/mandevent-amani";"https://www.wowhead.com/fr/item=250889";"";"";""
"2758";"Faucon-dragon cobalt";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Bois des Chants éternels";"3";"Bois des Chants éternels";"Bois des Chants éternels | Bois des Chants éternels (The Burning Crusade)";"wowhead-zone:15173 | wowhead-zone:3430 | wowhead-zone:15968";"Azeroth > Royaumes de l'Est > Bois des Chants éternels | Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Bois des Chants éternels | Azeroth > Royaumes de l'Est > Quel'Thalas > Bois des Chants éternels";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/faucon-dragon-cobalt";"https://www.wowhead.com/fr/item=257147";"";"";""
"2760";"Serre-tranchante amani";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Zul'Aman";"2";"Zul’Aman | Zul'Aman";"Zul’Aman | Zul'Aman";"wowhead-zone:15947 | manual-location:eastern-kingdoms:zul-aman";"Azeroth > Royaumes de l'Est > Quel'Thalas > Zul’Aman | Azeroth > Royaumes de l'Est > Zul'Aman";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/serre-tranchante-amani";"https://www.wowhead.com/fr/item=257152";"";"";""
"2762";"Faucon-pérégrin céruléen";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Bois des Chants éternels";"3";"Bois des Chants éternels";"Bois des Chants éternels | Bois des Chants éternels (The Burning Crusade)";"wowhead-zone:15173 | wowhead-zone:3430 | wowhead-zone:15968";"Azeroth > Royaumes de l'Est > Bois des Chants éternels | Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Bois des Chants éternels | Azeroth > Royaumes de l'Est > Quel'Thalas > Bois des Chants éternels";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/faucon-peregrin-ceruleen";"https://www.wowhead.com/fr/item=257156";"";"";""
"2769";"Orgueil de la Traque";"midnight";"12.0";"Vendeur";"Facile";"Assemblage V'anore | Lune-d'Argent | Vestige d'angoisse | La Traque";"2";"Lune-d’Argent";"Lune-d’Argent";"wowhead-zone:3487 | wowhead-zone:15969";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Lune-d’Argent | Azeroth > Royaumes de l'Est > Bois des Chants éternels > Lune-d’Argent";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/orgueil-de-la-traque";"https://www.wowhead.com/fr/item=257191";"";"";""
"2770";"Ire de la Traque";"midnight";"12.0";"Vendeur";"Facile";"Assemblage V'anore | Lune-d'Argent | Vestige d'angoisse | La Traque";"2";"Lune-d’Argent";"Lune-d’Argent";"wowhead-zone:3487 | wowhead-zone:15969";"Azeroth > Royaumes de l'Est > Bois des Chants éternels (The Burning Crusade) > Lune-d’Argent | Azeroth > Royaumes de l'Est > Bois des Chants éternels > Lune-d’Argent";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/ire-de-la-traque";"https://www.wowhead.com/fr/item=257192";"";"";""
"2776";"Ours amani béni";"midnight";"12.0";"Réputation";"Facile";"Magovu | Zul'Aman | Marne de Lumière du Vide | Tribu des Amani";"2";"Zul’Aman | Zul'Aman";"Zul’Aman | Zul'Aman";"wowhead-zone:15947 | manual-location:eastern-kingdoms:zul-aman";"Azeroth > Royaumes de l'Est > Quel'Thalas > Zul’Aman | Azeroth > Royaumes de l'Est > Zul'Aman";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/ours-amani-beni";"https://www.wowhead.com/fr/item=257219";"";"";""
