"blizzardId";"monture";"extensionMonture";"patch";"source";"difficulty";"motsClesMamytwink";"nombreCandidates";"zonesCandidates";"regionsCandidates";"zoneIdsCandidates";"extensionsCandidates";"statutRevue";"mamytwinkUrl";"wowheadUrl";"decisionManuelle";"zoneIdRetenue";"notes"
"16";"Drake balayé par le Vide";"midnight";"12.0";"Métier";"Facile";"Pêche | Tempête du Vide | Vortex océanique";"2";"Tempête du Vide";"Quel’Thalas";"15458 | 16648";"midnight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/drake-balaye-par-le-vide";"https://www.wowhead.com/fr/item=260916";"";"";""
"542";"Serpent-nuage de cobalt fulminant";"mop";"5.2";"Butin";"Difficile";"Nalak | Île du Tonnerre | World Boss";"3";"Île du Tonnerre";"Pandarie";"6507 | 6675 | 6677";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-serpent-nuage-de-cobalt-fulminant";"https://www.wowhead.com/fr/item=95057";"";"";""
"779";"Esprit d’Eche’ro";"legion";"7.0";"Archéologie";"Moyen";"Archéologie | Dalaran | Îles Brisées | Dariness l’Instruite | Sur la bonne voie | Fragment d'os d'Eche'ro";"4";"Dalaran";"Norfendre | Pandarie | Les Îles Brisées | Royaumes de l’Est";"4395 | 6611 | 7502 | 7886";"wrath-of-the-lich-king | mists-of-pandaria | legion";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/esprit-dechero";"https://www.wowhead.com/fr/item=131734";"";"";""
"793";"Scrutesang prédateur";"legion";"7.1";"Quête";"Moyen";"Falcosaures | Nouveau-né scrutesang | Azsuna";"2";"Azsuna";"Les Îles Brisées";"7334 | 8000";"legion";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/scrutesang-predateur";"https://www.wowhead.com/fr/item=137577";"";"";""
"794";"Bec-sinistre brillant";"legion";"7.1";"Quête";"Moyen";"Falcosaures | Nouveau-né bec-sinistre | Tornheim";"3";"Tornheim";"Les Îles Brisées";"7541 | 7921 | 10714";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/bec-sinistre-brillant";"https://www.wowhead.com/fr/item=137579";"";"";""
"795";"Chasseur plume-neige";"legion";"7.1";"Quête";"Moyen";"Falcosaures | Nouveau-né plume-neige | Haut-Roc";"2";"Haut-Roc";"Les Îles Brisées";"7503 | 10713";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/chasseur-plume-neige";"https://www.wowhead.com/fr/item=137578";"";"";""
"796";"Serres-tranchantes viridien";"legion";"7.1";"Quête";"Moyen";"Falcosaures | Nouveau-né serre-tranchante | Val'sharah";"2";"Val’sharah";"Les Îles Brisées";"7558 | 10430";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/serres-tranchantes-viridien";"https://www.wowhead.com/fr/item=137580";"";"";""
"941";"Noble-bois de Haut-Roc";"legion";"7.2";"Réputation";"Moyen";"Haut-Roc | Réputation parangon | Fournitures de Haut-Roc";"2";"Haut-Roc";"Les Îles Brisées";"7503 | 10713";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/noble-bois-de-haut-roc";"https://www.wowhead.com/fr/item=147807";"";"";""
"942";"Courserêve sauvage";"legion";"7.2";"Réputation";"Moyen";"Val'sharah | Réputation parangon | Cache tisse-rêves";"2";"Val’sharah";"Les Îles Brisées";"7558 | 10430";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/coursereve-sauvage";"https://www.wowhead.com/fr/item=147804";"";"";""
"943";"Hippogriffe nuelle";"legion";"7.2";"Réputation";"Moyen";"Azsuna | Réputation parangon | Coffre de Farondis";"2";"Azsuna";"Les Îles Brisées";"7334 | 8000";"legion";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/hippogriffe-nuelle";"https://www.wowhead.com/fr/item=147806";"";"";""
"944";"Aile-tempête valarjar";"legion";"7.2";"Réputation";"Moyen";"Tornheim | Réputation parangon | Coffre renforcé valarjar";"3";"Tornheim";"Les Îles Brisées";"7541 | 7921 | 10714";"legion | battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/aile-tempete-valarjar";"https://www.wowhead.com/fr/item=147805";"";"";""
